date,symbol,cumulative_return
2023-12-15,BEL,0.21443965517241415
2023-12-15,BHARTIARTL,0.0726791310926187
2023-12-15,M&M,0.1219916742552356
2023-12-15,TRENT,0.451969306978778
2023-12-18,BAJAJ-AUTO,0.28889952057729884
2023-12-18,BEL,0.24066091954023006
2023-12-18,BHARTIARTL,0.07019345077272243
2023-12-18,M&M,0.11278782359828221
2023-12-18,TRENT,0.4430819289981067
2023-12-19,BAJAJ-AUTO,0.2795901484117236
2023-12-19,BEL,0.2431752873563222
2023-12-19,BHARTIARTL,0.06824813573976019
2023-12-19,M&M,0.10534018472746132
2023-12-19,TRENT,0.45733572920207943
2023-12-20,BAJAJ-AUTO,0.2687159246080377
2023-12-20,BEL,0.20150862068965547
2023-12-20,BHARTIARTL,0.04998378904139211
2023-12-20,M&M,0.07125666710029877
2023-12-20,TRENT,0.432154824923511
2023-12-21,BAJAJ-AUTO,0.24517337958117635
2023-12-21,BEL,0.22593390804597724
2023-12-21,BHARTIARTL,0.05684642818545349
2023-12-21,M&M,0.06273578769350796
2023-12-21,TRENT,0.4351901316108988
2023-12-22,BAJAJ-AUTO,0.27024090741460416
2023-12-22,BEL,0.25574712643678166
2023-12-22,BHARTIARTL,0.0694369393710148
2023-12-22,M&M,0.06299596721737943
2023-12-22,TRENT,0.4401923170317139
2023-12-26,BAJAJ-AUTO,0.28867027479591956
2023-12-26,BEL,0.30711206896551735
2023-12-26,BHARTIARTL,0.08056846428185449
2023-12-26,M&M,0.08120853388838234
2023-12-26,TRENT,0.44237773784663315
2023-12-27,BAJAJ-AUTO,0.33752952785336054
2023-12-27,BEL,0.29454022988505746
2023-12-27,BHARTIARTL,0.10364206203393489
2023-12-27,M&M,0.09792506829712444
2023-12-27,TRENT,0.4621679374484011
2023-12-28,BAJAJ-AUTO,0.33626369245183163
2023-12-28,BEL,0.3125
2023-12-28,BHARTIARTL,0.12039338592888771
2023-12-28,M&M,0.12817093794718293
2023-12-28,TRENT,0.469574085765627
2023-12-29,BAJAJ-AUTO,0.3549920760697287
2023-12-29,BEL,0.32327586206896575
2023-12-29,BHARTIARTL,0.11553009834648198
2023-12-29,M&M,0.1248861714583056
2023-12-29,TRENT,0.4836336263416068
2024-01-01,BAJAJ-AUTO,0.33582513530484537
2024-01-01,BEL,0.3286637931034484
2024-01-01,BHARTIARTL,0.09483410785691082
2024-01-01,M&M,0.10790945752569203
2024-01-01,TRENT,0.4579670729930565
2024-01-02,BAJAJ-AUTO,0.3286387784189999
2024-01-02,BEL,0.30854885057471293
2024-01-02,BHARTIARTL,0.10418242732086846
2024-01-02,M&M,0.07727331858982645
2024-01-02,TRENT,0.45461609441018047
2024-01-03,BAJAJ-AUTO,0.39271795791844655
2024-01-03,BEL,0.3099856321839083
2024-01-03,BHARTIARTL,0.11877229006808565
2024-01-03,M&M,0.07665539222063167
2024-01-03,TRENT,0.48528483317954585
2024-01-04,BAJAJ-AUTO,0.3798901613690939
2024-01-04,BEL,0.34267241379310365
2024-01-04,BHARTIARTL,0.13249756835620863
2024-01-04,M&M,0.0678418108494856
2024-01-04,TRENT,0.4898984993443751
2024-01-05,BAJAJ-AUTO,0.3911232046566777
2024-01-05,BEL,0.3358477011494254
2024-01-05,BHARTIARTL,0.13109261861018018
2024-01-05,M&M,0.06803694549238903
2024-01-05,TRENT,0.4887815064834167
2024-01-08,BAJAJ-AUTO,0.3921896959004856
2024-01-08,BEL,0.31896551724137945
2024-01-08,BHARTIARTL,0.13374040851615665
2024-01-08,M&M,0.051222843762195325
2024-01-08,TRENT,0.478582876013794
2024-01-09,BAJAJ-AUTO,0.41412752045769197
2024-01-09,BEL,0.32650862068965525
2024-01-09,BHARTIARTL,0.1504376958824163
2024-01-09,M&M,0.060166514895277246
2024-01-09,TRENT,0.5130153950755199
2024-01-10,BAJAJ-AUTO,0.40612385252519
2024-01-10,BEL,0.3333333333333335
2024-01-10,BHARTIARTL,0.14849238084945404
2024-01-10,M&M,0.06205281644334537
2024-01-10,TRENT,0.541255888494975
2024-01-11,BAJAJ-AUTO,0.454983105582631
2024-01-11,BEL,0.3243534482758623
2024-01-11,BHARTIARTL,0.14865449043553403
2024-01-11,M&M,0.05935345388317881
2024-01-11,TRENT,0.5423243164489355
2024-01-12,BAJAJ-AUTO,0.45560107247156645
2024-01-12,BEL,0.3182471264367819
2024-01-12,BHARTIARTL,0.1632443531827512
2024-01-12,M&M,0.05662156888252823
2024-01-12,TRENT,0.5599776601427824
2024-01-15,BAJAJ-AUTO,0.4616112988268575
2024-01-15,BEL,0.35524425287356376
2024-01-15,BHARTIARTL,0.19139738463201095
2024-01-15,M&M,0.06384155066996144
2024-01-15,TRENT,0.550823175173621
2024-01-16,BAJAJ-AUTO,0.4540063192097976
2024-01-16,BEL,0.3419540229885063
2024-01-16,BHARTIARTL,0.18437263590186936
2024-01-16,M&M,0.05395472876284546
2024-01-16,TRENT,0.5376135204701096
2024-01-17,BAJAJ-AUTO,0.4284902670214972
2024-01-17,BEL,0.3336925287356327
2024-01-17,BHARTIARTL,0.17286285529017587
2024-01-17,M&M,0.03922206322362354
2024-01-17,TRENT,0.5287504249429376
2024-01-18,BAJAJ-AUTO,0.412074275633165
2024-01-18,BEL,0.3520114942528738
2024-01-18,BHARTIARTL,0.1748081703231379
2024-01-18,M&M,0.05193833745284149
2024-01-18,TRENT,0.5306444563158677
2024-01-19,BAJAJ-AUTO,0.4226295487844971
2024-01-19,BEL,0.37823275862068995
2024-01-19,BHARTIARTL,0.21582189560142595
2024-01-19,M&M,0.07685052686353466
2024-01-19,TRENT,0.5589577970958202
2024-01-23,BAJAJ-AUTO,0.4145262087731343
2024-01-23,BEL,0.344109195402299
2024-01-23,BHARTIARTL,0.2514860045390679
2024-01-23,M&M,0.03759594119942644
2024-01-23,TRENT,0.5366665047836447
2024-01-24,BAJAJ-AUTO,0.4378395080186166
2024-01-24,BEL,0.3595545977011496
2024-01-24,BHARTIARTL,0.2860153463741486
2024-01-24,M&M,0.05899570703785484
2024-01-24,TRENT,0.5651255402845916
2024-01-25,BAJAJ-AUTO,0.5145172382860366
2024-01-25,BEL,0.3627873563218391
2024-01-25,BHARTIARTL,0.25424186750243116
2024-01-25,M&M,0.06380902822947698
2024-01-25,TRENT,0.5695206643679289
2024-01-29,BAJAJ-AUTO,0.5048091778050192
2024-01-29,BEL,0.3714080459770115
